date,category,amount,notes,transaction_type,payment_mode,clean_notes
2022-10-03,food,28374.0,Lunch,Income,Bank Transfer,lunch
23-07-2024,education,9242.0,Online course,Expense,Bank Transfer,online course
23-11-21,food,16937.0,Shopping,Expense,unknown,shopping
09/14/2024,food,6108.0,Coffee,Expense,Card,coffee
2023-04-09,food,-500.0,ATM withdrawal,Expense,Bank Transfer,atm withdrawal
04/27/2023,food,2852.0,Books,Expense,UPI,books
07-05-24,health,2968.0,Doctor consultation,Expense,UPI,doctor consultation
09/21/2021,food,2243.0,Restaurant dinner,Expense,Card,restaurant dinner
01/29/2024,utility,5665.0,Internet bill,Expense,Cash,internet bill
12-12-22,education,70992.0,Online course,Income,Card,online course
2023-11-23,health,9442.0,Doctor consultation,Expense,Bank Transfer,doctor consultation
2024-06-08,food,460.0,Lunch,Expense,Cash,lunch
28-10-2024,health,26706.0,Gym membership,Expense,Cash,gym membership
2024-04-04,entertainment,3483.0,Movie tickets,Expense,Card,movie tickets
2022-02-05,travel,39184.0,Train ticket,Income,Card,train ticket
05/17/2022,travel,75740.0,Train ticket,Income,Cash,train ticket
06/06/2024,travel,8924.0,Uber ride,Expense,Cash,uber ride
2022-06-14,food,2890.0,Books,Expense,Cash,books
2024-01-14,food,125.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
02/10/2021,food,2382.0,Books,Expense,UPI,books
26-06-24,food,4789.0,EMI payment,Expense,Cash,emi payment
2024-01-21,food,35167.0,Restaurant dinner,Income,Cash,restaurant dinner
08/12/2023,rent,8036.0,Monthly rent payment,Expense,Cash,monthly rent payment
10/18/2023,travel,2333.0,Train ticket,Expense,Card,train ticket
2023-06-03,food,719.0,Restaurant dinner,Expense,Card,restaurant dinner
26-05-2021,food,9172.0,Shopping,Expense,UPI,shopping
30-10-22,food,0.0,Fixed deposit,Expense,Card,fixed deposit
06/10/2022,utility,13222.0,Electricity bill,Expense,UPI,electricity bill
16-12-22,rent,14365.0,Monthly rent payment,Expense,Cash,monthly rent payment
10/07/2021,health,23833.0,Medicine,Income,Card,medicine
31-03-23,travel,3510.0,Petrol,Expense,UPI,petrol
2023-07-10,education,47498.0,Online course,Income,Bank Transfer,online course
2023-09-23,travel,1257.0,Uber ride,Expense,unknown,uber ride
2022-03-22,utility,4167.0,Electricity bill,Expense,Cash,electricity bill
2021-07-06,food,6328.0,Books,Expense,Card,books
2024-09-06,travel,5393.0,Train ticket,Expense,UPI,train ticket
2021-07-08,utility,7752.0,Internet bill,Expense,Cash,internet bill
2022-01-28,food,865.0,Coffee,Expense,UPI,coffee
24-12-22,food,9496.0,Coffee,Expense,UPI,coffee
24-06-2021,utility,3797.0,Electricity bill,Expense,UPI,electricity bill
01/16/2023,entertainment,16478.0,Movie tickets,Income,Cash,movie tickets
2024-12-02,health,50145.0,Doctor consultation,Income,Bank Transfer,doctor consultation
10-07-2021,travel,9141.0,Petrol,Expense,UPI,petrol
2021-08-31,food,32134.0,Fixed deposit,Expense,UPI,fixed deposit
2024-11-22,travel,1162.0,Petrol,Expense,Cash,petrol
09/19/2021,utility,5764.0,Electricity bill,Expense,UPI,electricity bill
12-06-23,education,21681.0,Online course,Income,Card,online course
12/21/2024,food,600.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
2021-08-26,food,8223.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
2023-02-06,travel,2091.0,Uber ride,Expense,Card,uber ride
2022-08-29,food,4372.0,Fixed deposit,Expense,Card,fixed deposit
07-10-23,travel,569.0,Train ticket,Expense,UPI,train ticket
24-07-2021,food,1858.0,Grocery shopping,Expense,UPI,grocery shopping
09-05-2024,travel,29154.0,Train ticket,Income,Bank Transfer,train ticket
2023-02-15,food,8097.0,Restaurant dinner,Expense,UPI,restaurant dinner
2021-02-16,travel,3661.0,Petrol,Expense,UPI,petrol
04/09/2022,travel,7616.0,Train ticket,Expense,Bank Transfer,train ticket
07/09/2024,health,5124.0,Medicine,Expense,Cash,medicine
27-09-22,travel,1483.0,Uber ride,Expense,Cash,uber ride
20-04-2022,food,8978.0,EMI payment,Expense,Bank Transfer,emi payment
11/26/2024,travel,4730.0,Train ticket,Expense,Bank Transfer,train ticket
01/09/2023,food,1517.0,Shopping,Expense,Card,shopping
08-07-22,food,6991.0,Fixed deposit,Expense,Bank Transfer,fixed deposit
04/26/2022,utility,1520.0,Internet bill,Expense,Cash,internet bill
08-04-2024,utility,8083.0,Electricity bill,Expense,Card,electricity bill
27-08-24,food,18005.0,ATM withdrawal,Expense,Bank Transfer,atm withdrawal
2024-06-14,food,8065.0,Coffee,Expense,UPI,coffee
01/22/2023,food,70359.0,Shopping,Income,Cash,shopping
24-08-23,health,5700.0,Gym membership,Expense,Bank Transfer,gym membership
2023-04-16,health,7396.0,Doctor consultation,Expense,UPI,doctor consultation
09/25/2024,food,3271.0,Books,Expense,Bank Transfer,books
26-09-23,food,4622.0,Books,Expense,Card,books
2021-12-05,food,36365.0,Restaurant dinner,Income,UPI,restaurant dinner
05/11/2021,food,1455.0,Books,Expense,Card,books
2022-11-17,utility,4751.0,Internet bill,Expense,UPI,internet bill
12-08-2023,food,33795.0,Fixed deposit,Expense,Cash,fixed deposit
2023-10-16,food,5587.0,Coffee,Expense,Card,coffee
2022-05-09,travel,1315.0,Train ticket,Expense,UPI,train ticket
11-07-23,food,9495.0,Fixed deposit,Expense,Card,fixed deposit
24-05-22,education,23796.0,Online course,Expense,Bank Transfer,online course
2024-06-13,food,14969.0,Fixed deposit,Income,Bank Transfer,fixed deposit
14-02-2022,food,48704.0,Restaurant dinner,Income,UPI,restaurant dinner
05/27/2022,travel,3363.0,Uber ride,Expense,Cash,uber ride
03/05/2021,food,1616.0,ATM withdrawal,Expense,Cash,atm withdrawal
11/23/2024,food,71050.0,Lunch,Income,UPI,lunch
20-01-23,food,1037.0,Restaurant dinner,Expense,Card,restaurant dinner
2024-01-11,travel,8688.0,Uber ride,Expense,UPI,uber ride
08-06-23,education,2055.0,Online course,Expense,UPI,online course
01/09/2021,food,5615.0,Grocery shopping,Expense,Cash,grocery shopping
2022-01-16,food,1831.0,Fixed deposit,Expense,Card,fixed deposit
17-05-2024,utility,0.0,Internet bill,Expense,Bank Transfer,internet bill
03-02-2024,rent,49320.0,Monthly rent payment,Income,Card,monthly rent payment
14-04-2024,food,999999.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
2023-09-08,food,61333.0,Grocery shopping,Income,Card,grocery shopping
12/14/2023,food,5837.0,Lunch,Expense,Cash,lunch
2023-12-23,rent,1822.0,Monthly rent payment,Expense,unknown,monthly rent payment
09-04-23,utility,2288.0,Internet bill,Expense,Cash,internet bill
07/18/2023,travel,17859.0,Uber ride,Income,Cash,uber ride
21-07-21,education,506415.0,Online course,Income,Cash,online course
02/15/2022,food,6760.0,Fixed deposit,Expense,UPI,fixed deposit
10-01-24,travel,3765.0,Uber ride,Expense,UPI,uber ride
2024-10-25,health,779.0,Medicine,Expense,UPI,medicine
17-03-2023,food,4932.0,Fixed deposit,Expense,UPI,fixed deposit
18-08-21,health,5768.0,Gym membership,Expense,Bank Transfer,gym membership
04-03-24,travel,67826.0,Uber ride,Income,UPI,uber ride
24-11-2022,utility,3558.0,Electricity bill,Expense,Bank Transfer,electricity bill
2023-09-22,entertainment,4046.0,Movie tickets,Expense,Bank Transfer,movie tickets
2024-02-23,rent,2945.0,Monthly rent payment,Expense,Cash,monthly rent payment
2022-03-18,utility,999999.0,Electricity bill,Expense,Cash,electricity bill
2022-06-08,education,6739.0,Online course,Expense,Bank Transfer,online course
2022-03-30,food,2063.0,ATM withdrawal,Expense,UPI,atm withdrawal
27-04-22,utility,8716.0,Electricity bill,Expense,Bank Transfer,electricity bill
2024-08-28,food,1376.0,Fixed deposit,Expense,UPI,fixed deposit
05-05-2024,rent,5795.0,Monthly rent payment,Expense,UPI,monthly rent payment
2024-11-10,food,5077.0,Books,Expense,UPI,books
09/18/2023,travel,35400.0,Train ticket,Expense,Card,train ticket
2021-08-23,travel,618.0,Petrol,Expense,Cash,petrol
06/06/2023,rent,179.0,Monthly rent payment,Expense,UPI,monthly rent payment
2022-01-01,health,61649.0,Medicine,Income,UPI,medicine
18-07-2023,food,52701.0,ATM withdrawal,Income,Card,atm withdrawal
23-06-22,health,1008.0,Gym membership,Expense,UPI,gym membership
08-02-22,utility,519.0,Electricity bill,Expense,Cash,electricity bill
12/05/2023,food,2564.0,EMI payment,Expense,Cash,emi payment
20-11-2022,travel,43449.0,Train ticket,Expense,UPI,train ticket
14-03-2021,food,1742.0,Coffee,Expense,Cash,coffee
29-08-24,food,65727.0,Books,Income,UPI,books
04-09-2024,travel,2799.0,Uber ride,Expense,Card,uber ride
05/14/2024,food,2346.0,ATM withdrawal,Expense,Cash,atm withdrawal
17-01-2024,food,5130.0,ATM withdrawal,Expense,Cash,atm withdrawal
2023-02-25,utility,481.0,Internet bill,Expense,Cash,internet bill
01/11/2024,food,714.0,Shopping,Expense,Card,shopping
2024-07-15,food,6214.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
2022-01-08,food,7524.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
2023-03-03,utility,13881.0,Internet bill,Income,Cash,internet bill
25-02-22,travel,6273.0,Train ticket,Expense,Card,train ticket
2024-09-18,food,2495.0,ATM withdrawal,Expense,Card,atm withdrawal
11/28/2021,utility,4394.0,Internet bill,Expense,Card,internet bill
05-12-2021,food,6911.0,Lunch,Expense,Card,lunch
2021-02-01,education,7782.0,Online course,Expense,Card,online course
07/21/2024,travel,1299.0,Petrol,Expense,UPI,petrol
06/17/2023,food,462.0,ATM withdrawal,Expense,UPI,atm withdrawal
12-01-21,food,4549.0,Books,Expense,Bank Transfer,books
03/23/2024,food,16181.0,Lunch,Expense,Cash,lunch
03/24/2023,food,4085.0,Grocery shopping,Expense,Cash,grocery shopping
2024-08-08,health,67139.0,Doctor consultation,Income,Card,doctor consultation
2021-12-24,education,1466.0,Online course,Expense,Bank Transfer,online course
08-06-21,rent,1435.0,Monthly rent payment,Expense,UPI,monthly rent payment
09/15/2022,health,3422.0,Gym membership,Expense,Cash,gym membership
2022-09-13,food,34776.0,Grocery shopping,Income,Cash,grocery shopping
12/28/2022,health,7846.0,Doctor consultation,Expense,Card,doctor consultation
09/20/2023,utility,448.0,Electricity bill,Expense,unknown,electricity bill
05/01/2021,food,2153.0,Fixed deposit,Expense,Card,fixed deposit
2021-10-02,education,8346.0,Online course,Expense,Bank Transfer,online course
04/04/2021,health,884.0,Gym membership,Expense,Bank Transfer,gym membership
2023-01-17,utility,67211.0,Electricity bill,Income,Bank Transfer,electricity bill
2024-12-10,food,8350.0,Restaurant dinner,Expense,UPI,restaurant dinner
01/24/2023,health,9651.0,Doctor consultation,Expense,Cash,doctor consultation
08/01/2023,utility,5842.0,Electricity bill,Expense,UPI,electricity bill
05/22/2022,food,75005.0,Lunch,Income,Card,lunch
14-07-22,food,6861.0,Fixed deposit,Expense,Cash,fixed deposit
06-10-22,health,36756.0,Doctor consultation,Income,UPI,doctor consultation
11-12-22,travel,30109.0,Petrol,Expense,Card,petrol
13-06-23,food,1797.0,Shopping,Expense,Bank Transfer,shopping
2023-03-04,health,35286.0,Gym membership,Income,UPI,gym membership
2022-10-03,food,79950.0,Shopping,Income,unknown,shopping
04-11-2023,food,46079.0,Fixed deposit,Income,Card,fixed deposit
2023-10-27,travel,531.0,Petrol,Expense,Cash,petrol
27-04-2024,education,136052.0,Online course,Income,Card,online course
2022-08-03,food,20067.0,Books,Income,UPI,books
14-06-24,travel,922.0,Uber ride,Expense,UPI,uber ride
02/07/2022,food,34315.0,Fixed deposit,Income,Cash,fixed deposit
2021-10-31,food,56416.0,Shopping,Income,Cash,shopping
10-05-21,travel,6474.0,Uber ride,Expense,UPI,uber ride
2024-05-11,travel,3950.0,Uber ride,Expense,UPI,uber ride
02/05/2022,travel,8333.0,Train ticket,Expense,Bank Transfer,train ticket
2021-01-23,food,2273.0,Lunch,Expense,Card,lunch
2024-11-20,health,4396.0,Gym membership,Expense,Bank Transfer,gym membership
11-05-21,rent,28580.0,Monthly rent payment,Income,Card,monthly rent payment
2023-05-28,food,76741.0,Books,Income,unknown,books
11/13/2024,travel,2014.0,Train ticket,Expense,Card,train ticket
07-06-24,food,9242.0,Grocery shopping,Expense,UPI,grocery shopping
2023-06-06,food,30782.0,Lunch,Income,UPI,lunch
23-09-2023,food,12824.0,Grocery shopping,Income,Cash,grocery shopping
30-11-21,rent,9626.0,Monthly rent payment,Expense,Cash,monthly rent payment
13-03-23,travel,55432.0,Uber ride,Income,Card,uber ride
11/11/2021,food,278.0,Fixed deposit,Expense,unknown,fixed deposit
2023-11-26,utility,3432.0,Internet bill,Expense,Card,internet bill
05/14/2021,health,7468.0,Gym membership,Expense,unknown,gym membership
21-09-2022,food,22465.0,Coffee,Expense,Bank Transfer,coffee
2024-07-27,health,4088.0,Gym membership,Expense,Card,gym membership
2021-02-04,utility,3103.0,Electricity bill,Expense,UPI,electricity bill
12/31/2022,food,4716.0,Lunch,Expense,Cash,lunch
04/05/2024,food,9439.0,Fixed deposit,Expense,UPI,fixed deposit
2023-09-13,entertainment,-1000.0,Movie tickets,Expense,unknown,movie tickets
2023-04-14,travel,70116.0,Train ticket,Income,Cash,train ticket
04/04/2024,food,6375.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
2022-03-01,travel,1476.0,Train ticket,Expense,Bank Transfer,train ticket
24-01-2021,health,7900.0,Doctor consultation,Expense,Bank Transfer,doctor consultation
19-04-21,food,2118.0,Grocery shopping,Expense,Card,grocery shopping
11/04/2021,utility,4822.0,Electricity bill,Expense,Card,electricity bill
16-08-2021,travel,7943.0,Petrol,Expense,Bank Transfer,petrol
2021-11-24,food,26342.0,Coffee,Expense,Cash,coffee
2023-06-15,travel,5086.0,Uber ride,Expense,Card,uber ride
2021-07-15,food,3943.0,Grocery shopping,Expense,UPI,grocery shopping
2021-03-31,utility,6149.0,Electricity bill,Expense,unknown,electricity bill
17-07-21,health,306.0,Gym membership,Expense,Bank Transfer,gym membership
2022-02-20,food,6926.0,Books,Expense,Card,books
05/02/2023,utility,29134.0,Electricity bill,Income,unknown,electricity bill
2024-05-28,entertainment,41993.0,Movie tickets,Expense,Cash,movie tickets
29-07-22,food,8147.0,Restaurant dinner,Expense,UPI,restaurant dinner
08/31/2023,health,3624.0,Medicine,Expense,UPI,medicine
10-03-2022,entertainment,21702.0,Movie tickets,Income,Bank Transfer,movie tickets
2021-12-09,travel,42608.0,Uber ride,Expense,Cash,uber ride
01-02-23,food,49272.0,Coffee,Income,Card,coffee
04/17/2022,food,19084.0,Fixed deposit,Expense,Bank Transfer,fixed deposit
26-10-23,food,4648.0,Fixed deposit,Expense,Bank Transfer,fixed deposit
2024-02-27,food,4941.0,EMI payment,Expense,unknown,emi payment
2023-05-23,travel,8130.0,Uber ride,Expense,UPI,uber ride
12-11-23,health,6817.0,Gym membership,Expense,Card,gym membership
07/10/2022,food,3549.0,Books,Expense,UPI,books
07-01-23,food,2048.0,Fixed deposit,Expense,UPI,fixed deposit
10-03-24,food,6612.0,Books,Expense,Cash,books
2022-04-21,travel,4457.0,Train ticket,Expense,Cash,train ticket
12/20/2022,food,1014.0,Fixed deposit,Expense,Card,fixed deposit
2024-02-14,food,2612.0,Books,Expense,Bank Transfer,books
15-05-2024,entertainment,9877.0,Movie tickets,Expense,Cash,movie tickets
09-08-23,health,13404.0,Doctor consultation,Income,Card,doctor consultation
2024-06-18,food,6653.0,EMI payment,Expense,UPI,emi payment
2021-01-20,health,4322.0,Medicine,Expense,unknown,medicine
2024-09-17,food,1818.0,Coffee,Expense,Cash,coffee
2023-07-25,food,5408.0,Coffee,Expense,Bank Transfer,coffee
2024-12-26,food,208860.0,Grocery shopping,Income,Cash,grocery shopping
2023-06-06,food,2340.0,Shopping,Expense,Bank Transfer,shopping
2023-04-25,food,7420.0,Coffee,Expense,Card,coffee
17-06-23,health,8139.0,Medicine,Expense,Bank Transfer,medicine
2021-12-11,food,6618.0,Lunch,Expense,UPI,lunch
07/03/2024,utility,4096.0,Internet bill,Expense,Bank Transfer,internet bill
2024-09-01,travel,11027.0,Uber ride,Income,Bank Transfer,uber ride
11/03/2023,health,9540.0,Doctor consultation,Expense,Card,doctor consultation
2024-10-31,food,653.0,EMI payment,Expense,unknown,emi payment
03/01/2024,travel,1337.0,Petrol,Expense,Bank Transfer,petrol
2023-04-11,rent,55241.0,Monthly rent payment,Income,Card,monthly rent payment
21-05-2022,food,7678.0,Restaurant dinner,Expense,Cash,restaurant dinner
20-02-2021,education,5814.0,Online course,Expense,Bank Transfer,online course
20-10-22,health,411.0,Gym membership,Expense,Cash,gym membership
01/30/2024,food,-500.0,ATM withdrawal,Expense,Cash,atm withdrawal
04-07-2024,education,9561.0,Online course,Expense,UPI,online course
29-04-2024,education,0.0,Online course,Expense,Bank Transfer,online course
12/01/2024,food,2620.0,ATM withdrawal,Expense,Card,atm withdrawal
24-09-2022,travel,1941.0,Uber ride,Expense,UPI,uber ride
15-02-2024,travel,5234.0,Petrol,Expense,Bank Transfer,petrol
07/20/2022,travel,4634.0,Petrol,Expense,Bank Transfer,petrol
2023-06-14,entertainment,7202.0,Movie tickets,Expense,Cash,movie tickets
2024-04-18,food,1925.0,Coffee,Expense,Card,coffee
11-07-21,travel,1548.0,Uber ride,Expense,Cash,uber ride
03/23/2023,health,48707.0,Doctor consultation,Income,Cash,doctor consultation
2024-10-16,food,730.0,Fixed deposit,Expense,Cash,fixed deposit
09/02/2022,health,1548.0,Doctor consultation,Expense,Card,doctor consultation
2022-10-20,health,2137.0,Medicine,Expense,Cash,medicine
04/30/2024,travel,8792.0,Petrol,Expense,Cash,petrol
22-09-22,food,2397.0,Coffee,Expense,Cash,coffee
2024-11-22,food,36001.0,Coffee,Expense,Card,coffee
2022-09-11,health,72599.0,Gym membership,Income,unknown,gym membership
2022-07-31,travel,667.0,Uber ride,Expense,Cash,uber ride
2023-04-02,health,45305.0,Medicine,Income,Cash,medicine
2022-08-06,food,3512.0,Restaurant dinner,Expense,UPI,restaurant dinner
30-04-21,rent,72108.0,Monthly rent payment,Income,UPI,monthly rent payment
07-07-22,rent,5484.0,Monthly rent payment,Expense,Bank Transfer,monthly rent payment
2021-11-26,health,6351.0,Gym membership,Expense,Bank Transfer,gym membership
2022-08-15,food,7586.0,Coffee,Expense,Bank Transfer,coffee
2022-01-15,education,8643.0,Online course,Expense,Bank Transfer,online course
01-10-24,food,7652.0,Lunch,Expense,Card,lunch
06/21/2024,travel,2644.0,Petrol,Expense,UPI,petrol
08-12-2021,food,4008.0,ATM withdrawal,Expense,UPI,atm withdrawal
2024-02-24,health,8461.0,Gym membership,Expense,Bank Transfer,gym membership
2022-06-04,travel,24089.0,Uber ride,Income,UPI,uber ride
2023-10-15,travel,6461.0,Uber ride,Expense,Card,uber ride
2023-02-26,entertainment,6999.0,Movie tickets,Expense,Cash,movie tickets
22-06-24,food,418020.0,ATM withdrawal,Income,Card,atm withdrawal
08/19/2023,travel,4518.0,Uber ride,Expense,Bank Transfer,uber ride
23-01-21,rent,2090.0,Monthly rent payment,Expense,Cash,monthly rent payment
2024-07-10,food,7288.0,Shopping,Expense,UPI,shopping
2023-10-01,food,63860.0,Fixed deposit,Income,UPI,fixed deposit
02-01-22,food,1420.0,ATM withdrawal,Expense,Card,atm withdrawal
14-02-22,utility,5064.0,Electricity bill,Expense,UPI,electricity bill
2023-06-04,health,1831.0,Medicine,Expense,Bank Transfer,medicine
01/11/2021,food,588.0,Shopping,Expense,Bank Transfer,shopping
09/02/2021,health,9488.0,Doctor consultation,Expense,Cash,doctor consultation
2021-03-18,health,7744.0,Medicine,Expense,Bank Transfer,medicine
2021-08-24,utility,1891.0,Electricity bill,Expense,Card,electricity bill
15-02-23,food,5788.0,Fixed deposit,Expense,Card,fixed deposit
2024-06-13,education,28677.0,Online course,Income,UPI,online course
01-03-2021,health,1992.0,Doctor consultation,Expense,Cash,doctor consultation
2024-01-22,food,59543.0,Restaurant dinner,Income,Card,restaurant dinner
2021-09-14,food,423.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
2024-04-19,food,1588.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
23-08-2022,travel,1538.0,Uber ride,Expense,UPI,uber ride
06/10/2023,food,5990.0,ATM withdrawal,Expense,Bank Transfer,atm withdrawal
06/22/2023,food,2381.0,Fixed deposit,Expense,Card,fixed deposit
2022-11-15,travel,5965.0,Train ticket,Expense,Card,train ticket
11/25/2024,food,8228.0,EMI payment,Expense,UPI,emi payment
2022-04-24,education,6907.0,Online course,Expense,UPI,online course
27-12-24,education,767.0,Online course,Expense,Cash,online course
2021-12-20,food,9767.0,Fixed deposit,Expense,Cash,fixed deposit
2021-10-01,utility,6960.0,Internet bill,Expense,Cash,internet bill
09/23/2022,entertainment,4787.0,Movie tickets,Expense,unknown,movie tickets
2022-12-09,food,8440.0,Books,Expense,Cash,books
21-02-2024,health,4383.0,Medicine,Expense,Bank Transfer,medicine
05/10/2022,food,36601.0,Lunch,Income,Card,lunch
27-06-24,health,76897.0,Gym membership,Income,Cash,gym membership
2023-06-29,entertainment,1240.0,Movie tickets,Expense,UPI,movie tickets
2023-06-10,food,463.0,Lunch,Expense,Bank Transfer,lunch
2022-08-11,education,1678.0,Online course,Expense,UPI,online course
07/10/2023,food,2276.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
2024-06-22,food,67143.0,Books,Income,Bank Transfer,books
06-09-2022,food,3209.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
2022-01-31,food,5654.0,ATM withdrawal,Expense,UPI,atm withdrawal
03-07-22,health,5190.0,Gym membership,Expense,Card,gym membership
09/15/2021,food,1222.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
2021-09-14,food,2889.0,Restaurant dinner,Expense,Card,restaurant dinner
06/12/2023,travel,1347.0,Uber ride,Expense,Cash,uber ride
2022-10-01,travel,2106.0,Petrol,Expense,Card,petrol
04/04/2023,food,75840.0,Grocery shopping,Income,UPI,grocery shopping
2023-05-03,food,9396.0,Grocery shopping,Expense,Cash,grocery shopping
2023-06-11,education,255.0,Online course,Expense,Cash,online course
2023-02-16,health,16826.0,Medicine,Income,Cash,medicine
2023-02-19,food,3035.0,Fixed deposit,Expense,Card,fixed deposit
11/11/2022,food,1908.0,Shopping,Expense,Card,shopping
12-11-21,utility,2409.0,Electricity bill,Expense,Cash,electricity bill
2022-02-28,food,8199.0,EMI payment,Expense,Bank Transfer,emi payment
2022-03-30,food,6819.0,Shopping,Expense,Cash,shopping
24-06-21,health,2015.0,Doctor consultation,Expense,Bank Transfer,doctor consultation
2022-03-12,food,12351.0,EMI payment,Income,UPI,emi payment
12/14/2022,utility,6267.0,Internet bill,Expense,Card,internet bill
2024-04-12,food,76182.0,Restaurant dinner,Income,Bank Transfer,restaurant dinner
12/21/2024,health,7966.0,Doctor consultation,Expense,unknown,doctor consultation
2021-06-27,health,3311.0,Doctor consultation,Expense,Cash,doctor consultation
15-06-2022,food,4894.0,ATM withdrawal,Expense,Card,atm withdrawal
04-07-24,food,8847.0,Shopping,Expense,Bank Transfer,shopping
30-01-21,food,999999.0,Books,Expense,Bank Transfer,books
09/04/2022,utility,3776.0,Internet bill,Expense,Cash,internet bill
2023-09-06,rent,8578.0,Monthly rent payment,Expense,Cash,monthly rent payment
07/12/2023,food,5323.0,ATM withdrawal,Expense,Cash,atm withdrawal
08/04/2024,utility,6489.0,Electricity bill,Expense,Card,electricity bill
04/01/2021,health,7756.0,Gym membership,Expense,UPI,gym membership
2023-04-11,travel,3980.0,Petrol,Expense,UPI,petrol
2023-10-17,food,4273.0,Books,Expense,Cash,books
07-01-23,entertainment,57838.0,Movie tickets,Income,Card,movie tickets
18-05-21,food,141.0,Books,Expense,Card,books
29-01-23,food,568.0,Grocery shopping,Expense,Card,grocery shopping
2024-10-05,food,4074.0,EMI payment,Expense,Card,emi payment
2023-03-30,travel,25379.0,Petrol,Income,Cash,petrol
06/02/2024,food,2551.0,Books,Expense,Card,books
26-11-2023,food,9734.0,Shopping,Expense,Cash,shopping
2022-12-29,food,2122.0,Lunch,Expense,Card,lunch
2023-09-18,utility,9154.0,Electricity bill,Expense,Cash,electricity bill
02/05/2023,food,867.0,EMI payment,Expense,Card,emi payment
14-04-21,food,10823.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
02/10/2021,rent,3060.0,Monthly rent payment,Expense,UPI,monthly rent payment
2021-02-07,food,2353.0,Fixed deposit,Expense,Cash,fixed deposit
02/10/2021,travel,817.0,Train ticket,Expense,UPI,train ticket
11/24/2021,rent,2252.0,Monthly rent payment,Expense,Cash,monthly rent payment
03/01/2022,health,1025.0,Gym membership,Expense,Card,gym membership
2021-04-05,food,69656.0,Lunch,Income,Card,lunch
2021-06-29,food,49021.0,Coffee,Income,Bank Transfer,coffee
02/09/2023,food,648.0,Restaurant dinner,Expense,UPI,restaurant dinner
2021-02-19,health,47673.0,Medicine,Income,Card,medicine
21-07-24,food,3318.0,Restaurant dinner,Expense,Card,restaurant dinner
04/24/2024,food,4777.0,Shopping,Expense,Bank Transfer,shopping
28-02-2022,food,4612.0,Coffee,Expense,Card,coffee
10/24/2024,education,1889.0,Online course,Expense,UPI,online course
2022-04-14,food,1300.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
14-03-22,education,18386.0,Online course,Expense,Cash,online course
2023-11-23,food,8603.0,Restaurant dinner,Expense,unknown,restaurant dinner
13-01-24,food,3290.0,Books,Expense,UPI,books
01-04-23,travel,1220.0,Petrol,Expense,Cash,petrol
10-04-2024,food,25099.0,Shopping,Income,UPI,shopping
07/05/2022,food,2926.0,Books,Expense,Card,books
2024-03-17,entertainment,6208.0,Movie tickets,Expense,Cash,movie tickets
31-07-22,utility,8970.0,Electricity bill,Expense,UPI,electricity bill
01/20/2023,food,20195.0,Restaurant dinner,Income,Card,restaurant dinner
06/18/2021,food,3306.0,Shopping,Expense,Cash,shopping
2021-10-13,food,1259.0,Shopping,Expense,Card,shopping
2024-03-06,food,6679.0,Lunch,Expense,Bank Transfer,lunch
2024-01-12,utility,1321.0,Internet bill,Expense,Cash,internet bill
2023-12-28,food,3832.0,Lunch,Expense,Cash,lunch
12/12/2023,food,4537.0,Fixed deposit,Expense,Cash,fixed deposit
2024-10-12,food,54771.0,Books,Income,Bank Transfer,books
08/31/2024,travel,31663.0,Petrol,Income,Bank Transfer,petrol
2024-07-06,utility,4876.0,Internet bill,Expense,Card,internet bill
09/13/2024,food,11329.0,Fixed deposit,Expense,Card,fixed deposit
2024-09-01,travel,11027.0,Uber ride,Income,Bank Transfer,uber ride
2021-04-07,travel,6689.0,Petrol,Expense,Cash,petrol
21-11-23,education,8300.0,Online course,Expense,Bank Transfer,online course
04/25/2022,education,3750.0,Online course,Expense,Cash,online course
25-04-21,food,5896.0,Books,Expense,Card,books
05-04-24,food,31660.0,Fixed deposit,Expense,UPI,fixed deposit
12/16/2024,utility,9988.0,Internet bill,Expense,Bank Transfer,internet bill
29-06-23,food,24320.0,Shopping,Income,UPI,shopping
2024-05-07,food,3559.0,Books,Expense,Cash,books
2024-12-20,utility,14297.0,Electricity bill,Income,Bank Transfer,electricity bill
22-12-21,food,203.0,Coffee,Expense,Bank Transfer,coffee
2021-08-16,utility,5005.0,Internet bill,Expense,Bank Transfer,internet bill
01/01/2024,food,6806.0,Fixed deposit,Expense,Card,fixed deposit
27-01-21,food,2865.0,Grocery shopping,Expense,UPI,grocery shopping
04/02/2024,food,3777.0,Grocery shopping,Expense,UPI,grocery shopping
21-05-24,food,5077.0,Restaurant dinner,Expense,Card,restaurant dinner
